"TIME","GEO","SEX","UNIT","Value"
"2019W06","France","Total","Number","14 313"
"2019W06","France","Males","Number","6 980"
"2019W06","France","Females","Number","7 333"
"2019W06","Croatia","Total","Number","1 133"
"2019W06","Croatia","Males","Number","540"
"2019W06","Croatia","Females","Number","593"
"2019W06","Italy","Total","Number","15 228"
"2019W06","Italy","Males","Number","7 160"
"2019W06","Italy","Females","Number","8 068"
"2019W06","Cyprus","Total","Number","160"
"2019W06","Cyprus","Males","Number","77"
"2019W06","Cyprus","Females","Number","83"
"2019W06","Latvia","Total","Number","619"
"2019W06","Latvia","Males","Number","273"
"2019W06","Latvia","Females","Number","346"
"2019W06","Lithuania","Total","Number","854"
"2019W06","Lithuania","Males","Number","380"
"2019W06","Lithuania","Females","Number","474"
"2019W06","Luxembourg","Total","Number","106"
"2019W06","Luxembourg","Males","Number","61"
"2019W06","Luxembourg","Females","Number","45"
"2019W06","Hungary","Total","Number","3 263"
"2019W06","Hungary","Males","Number","1 529"
"2019W06","Hungary","Females","Number","1 734"
"2019W06","Malta","Total","Number","87"
"2019W06","Malta","Males","Number","33"
"2019W06","Malta","Females","Number","54"
"2019W06","Netherlands","Total","Number","3 186"
"2019W06","Netherlands","Males","Number","1 591"
"2019W06","Netherlands","Females","Number","1 595"
"2019W06","Austria","Total","Number","1 797"
"2019W06","Austria","Males","Number","870"
"2019W06","Austria","Females","Number","927"
"2019W06","Poland","Total","Number","9 269"
"2019W06","Poland","Males","Number","4 739"
"2019W06","Poland","Females","Number","4 530"
"2019W06","Portugal","Total","Number","2 779"
"2019W06","Portugal","Males","Number","1 341"
"2019W06","Portugal","Females","Number","1 438"
"2019W06","Romania","Total","Number","5 734"
"2019W06","Romania","Males","Number","2 946"
"2019W06","Romania","Females","Number","2 788"
"2019W06","Slovenia","Total","Number","507"
"2019W06","Slovenia","Males","Number","240"
"2019W06","Slovenia","Females","Number","267"
"2019W06","Slovakia","Total","Number","1 339"
"2019W06","Slovakia","Males","Number","654"
"2019W06","Slovakia","Females","Number","685"
"2019W06","Finland","Total","Number","1 170"
"2019W06","Finland","Males","Number","564"
"2019W06","Finland","Females","Number","606"
"2019W06","Sweden","Total","Number","1 882"
"2019W06","Sweden","Males","Number","873"
"2019W06","Sweden","Females","Number","1 009"
"2019W06","United Kingdom","Total","Number","13 186"
"2019W06","United Kingdom","Males","Number","6 515"
"2019W06","United Kingdom","Females","Number","6 671"
"2019W06","Iceland","Total","Number","36"
"2019W06","Iceland","Males","Number","16"
"2019W06","Iceland","Females","Number","20"
"2019W06","Liechtenstein","Total","Number","5"
"2019W06","Liechtenstein","Males","Number","2"
"2019W06","Liechtenstein","Females","Number","3"
"2019W06","Norway","Total","Number","843"
"2019W06","Norway","Males","Number","403"
"2019W06","Norway","Females","Number","440"
